speaker,gender,filepath,emotion,intensity,cue_t_type,offset_start,offset_end,transcription
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Relief(SocialEmotions)_3.wav,Relief(SocialEmotions),low,,0.15,4.39,I'm glad that's over. It worked out okay in the end.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Guilt(SocialEmotions)_3.wav,Guilt(SocialEmotions),low,,0.3,4.21,I feel bad about what I did. I didn't mean for it to happen this way.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Regret(SocialEmotions)_4.wav,Regret(SocialEmotions),low,,0.08,4.03,I wish I had done things differently. It's bothering me a little.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Loneliness(SocialEmotions)_3.wav,Loneliness(SocialEmotions),low,,0.14,4.62,"Sometimes I feel a little left out, like I'm not really a part of the group."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Natsukashii(RareAndComplex)_.wav,Natsukashii(RareAndComplex),low,,0.03,5.14,The scent of the ocean brings me back to those carefree summer days we spent together.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Playfulexcitement_1.wav,Playfulexcitement,low,,0.47,2.19,This is a great choice. You'll love it.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Pity(SocialEmotions)_.wav,Pity(SocialEmotions),low,,0.0,3.758625,I feel bad for them. They must be having a hard time.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Jealousy(SocialEmotions)_.wav,Jealousy(SocialEmotions),low,,0.15,4.51,I just wish I had what they have. It's hard not to compare.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Loneliness(SocialEmotions)_.wav,Loneliness(SocialEmotions),low,,0.04,6.39,Sometimes I just feel so alone. It's hard to explain.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Nostalgia(SocialEmotions)_.wav,Nostalgia(SocialEmotions),low,,0.21,5.46,This brings back some nice memories. It's been a while.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Eunoia(RareAndComplex)_.wav,Eunoia(RareAndComplex),low,,0.03,5.54,"Let's approach this with kindness and understanding, for that's how we'll succeed together."
