Cue ID,Emotion Alignment,Usage Context,Insertion Timing
Applause_Subtle,JoyPrimary,Expresses celebration or approval,intra-utterance
Breath_Calm,AnxietySecondary,"Represents a breath before, during, or after speech",intra-utterance
Breath_Deep,AnxietySecondary,"Represents a breath before, during, or after speech",intra-utterance
Breath_Heavy,AnxietySecondary,"Represents a breath before, during, or after speech",intra-utterance
Chatter_Teeth_Cold,AnxietySecondary,Expresses discomfort due to cold or shivering,intra-utterance
Chatter_Teeth_Shivering,AnxietySecondary,Expresses discomfort due to cold or shivering,intra-utterance
Cheer_Enthusiastic,JoyPrimary,Expresses celebration or approval,post-utterance
Cheer_Excited,JoyPrimary,Expresses celebration or approval,post-utterance
Clap_Playful,JoyPrimary,Expresses celebration or approval,post-utterance
Clap_Slow,JoyPrimary,Expresses celebration or approval,post-utterance
Click_Disapproval,DisapprovalSecondary,Clicking sound indicating disapproval or pondering,pre-utterance
Click_Pondering,DisapprovalSecondary,Clicking sound indicating disapproval or pondering,pre-utterance
Cough_Light,DisgustSecondary,Clears throat or cough for emphasis or interruption,intra-utterance
Cough_Playful,DisgustSecondary,Clears throat or cough for emphasis or interruption,intra-utterance
Cough_Polite,DisgustSecondary,Clears throat or cough for emphasis or interruption,intra-utterance
Cry_Frustrated,SadnessPrimary,Expresses crying or emotional response,intra-utterance
Cry_Joy,SadnessPrimary,Expresses crying or emotional response,intra-utterance
Exhale_Nervous,AnxietySecondary,"Represents a breath before, during, or after speech",intra-utterance
Exhale_Relief,AnxietySecondary,"Represents a breath before, during, or after speech",intra-utterance
Exhale_Surprise,AnxietySecondary,"Represents a breath before, during, or after speech",intra-utterance
Gasp_Amazement,"SurprisePrimary, FearPrimary",Sharp intake of breath indicating surprise or shock,pre-utterance
Gasp_Dramatic,"SurprisePrimary, FearPrimary",Sharp intake of breath indicating surprise or shock,pre-utterance
Gasp_Joyful,"SurprisePrimary, FearPrimary",Sharp intake of breath indicating surprise or shock,pre-utterance
Gasp_Mild,"SurprisePrimary, FearPrimary",Sharp intake of breath indicating surprise or shock,pre-utterance
Gasp_Overwhelmed,"SurprisePrimary, FearPrimary",Sharp intake of breath indicating surprise or shock,pre-utterance
Gasp_Realization,"SurprisePrimary, FearPrimary",Sharp intake of breath indicating surprise or shock,pre-utterance
Gasp_Shock,"SurprisePrimary, FearPrimary",Sharp intake of breath indicating surprise or shock,pre-utterance
